,Author,Title,Citations,Year,Source
5,Rahimi,Usage monitoring of electrical devices in a smart home,2,2012,https://curve.carleton.ca/system/files/etd/31ac5355-d807-4dd9-85ea-f9e06745ff56/etd_pdf/68d2a2ad350e4e71f776cd3e2d3d0bce/rahimi-usagemonitoringofelectricaldevicesinasmart.pdf
6,"Al Abassi, K Johnsson, J Karlsson, TB Schön…",Ssgmi greenely report energy disaggregation with low resolution data,2,0,http://eu-maths-in.se/wp-content/uploads/SSGMI_2015_report_Greenely.pdf
7,Makonin,Approaches to Non-Intrusive Load Monitoring (NILM) in the Home,2,2012,http://summit.sfu.ca/item/14475
8,"Benitez, R Huang",Non-intrusive load monitoring system and method,2,2012,https://www.google.com/patents/US8340831
9,"Chahine, KEK Drissi",A novel feature extraction method for nonintrusive appliance load monitoring,2,2013,http://dl.acm.org/citation.cfm?id=2514852
0,"Figueiredo, A De Almeida, B Ribeiro",Non-intrusive residential electrical consumption traces,2,2011,http://link.springer.com/content/pdf/10.1007/978-3-642-19937-0.pdf#page=63
1,"Jung, A Savvides",Theory and algorithm of estimating energy consumption breakdowns using on/off state sensing,2,2014,http://dl.acm.org/citation.cfm?id=2630880
2,"Engel, G Eibl",Wavelet-based multiresolution smart meter privacy,2,2015,http://ieeexplore.ieee.org/abstract/document/7352367/
3,"Biansoongnern, B Plungklang",Non-Intrusive Appliances Load Monitoring (NILM) for Energy Conservation in Household with Low Sampling Rate,2,2016,http://www.sciencedirect.com/science/article/pii/S1877050916303854
4,"Kalluri, A Kamilaris, S Kondepudi, HW Kua…",Applicability of using time series subsequences to study office plug load appliances,2,2016,http://www.sciencedirect.com/science/article/pii/S0378778816304546
5,"Gray, WG Morsi",Application of wavelet-based classification in non-intrusive load monitoring,3,2015,http://ieeexplore.ieee.org/abstract/document/7129157/
6," Kazmi, MJ O'Grady, GMP O'Hare",Non-intrusive identification of electrical appliances,2,2013,http://link.springer.com/chapter/10.1007/978-3-319-04406-4_18
7," Kulkarni, CK Harnett, KC Welch",EMF signature for appliance classification,3,2015,http://ieeexplore.ieee.org/abstract/document/6980072/
8,"Sintoni, A Schoofs, A Doherty…",Generating power footprints without appliance interaction: An enabler for privacy intrusion,2,2011,http://ieeexplore.ieee.org/abstract/document/5982180/
9,"Liu, M Chen",A review of nonintrusive load monitoring and its application in commercial building,2,2014,http://ieeexplore.ieee.org/abstract/document/6917536/
0,Fisera,Non-invasive energy consumption monitoring,2,2014,https://www.google.com/patents/US8664937
1," Lian, KS Tung, YC Su",A non-intrusive load monitoring system based on a cascaded method,2,2013,http://ieeexplore.ieee.org/abstract/document/6713027/
2,"Lindahl, S Leeb, J Donnal…",Noncontact sensors and Nonintrusive Load Monitoring (NILM) aboard the USCGC spencer,2,2016,http://ieeexplore.ieee.org/abstract/document/7589633/
3,"Tang, J Chen, C Chen, K Wu",Smart saver: a consumer-oriented web service for energy disaggregation,2,2014,http://ieeexplore.ieee.org/abstract/document/7022742/
4,"Sun, L Lampe, VWS Wong",Combining electric vehicle and rechargeable battery for household load hiding,3,2015,http://ieeexplore.ieee.org/abstract/document/7436368/
5,"Kumar, R Sinha, MG Chandra…",Data-driven electrical load disaggregation using graph signal processing,2,2016,http://ieeexplore.ieee.org/abstract/document/7839109/
6,Hassan,Bi-level characterization of manual setup residential non-intrusive demand disaggregation using enhanced differential evolution,2,2012,https://pdfs.semanticscholar.org/1149/ccc9b8f3169422b4b4fe00b6fc04a9e99d86.pdf
7,"Kong, ZY Dong, DJ Hill, F Luo…",Improving Nonintrusive Load Monitoring Efficiency via a Hybrid Programing Method,2,2016,http://ieeexplore.ieee.org/abstract/document/7508980/
8,"Khalid, N Arshad, N Khan, T Hassan…",Home energy management system using NILM and low-cost HAN,2,2014,http://www.journal.uestc.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=1310
9,"Jung, HH Nguyen, DKY Yau",Tracking appliance usage information using harmonic signature sensing,2,2015,http://ieeexplore.ieee.org/abstract/document/7436343/
0," Meng, XJ Zeng",Appliance level demand modeling and pricing optimization for demand response management in smart grid,2,2015,http://ieeexplore.ieee.org/abstract/document/7280432/
1," Kazmi, MJ O'Grady, GMP O'Hare",Real-Time Event Detection for Energy Data Streams,2,2014,https://link.springer.com/chapter/10.1007/978-3-319-14112-1_18
2,"Semwal, M Singh, RS Prasad",Group control and identification of residential appliances using a nonintrusive method,2,2015,https://journals.tubitak.gov.tr/elektrik/abstract.htm?id=16981
3,"Guruprasad, MG Chandra…",A learning approach for identification of refrigerator load from aggregate load signal,2,2014,http://ieeexplore.ieee.org/abstract/document/6968516/
